[BrainGB]
avg_auc=0.6439 +-  0.0556, avg_acc=0.6088 +-  0.0321, avg_sens=0.4773 +-  0.1168, avg_specs=0.7086 +-  0.0741
avg_auc=0.6360 +-  0.0605, avg_acc=0.6088 +-  0.0473, avg_sens=0.4795 +-  0.0967, avg_specs=0.7069 +-  0.0370
avg_auc=0.6238 +-  0.0594, avg_acc=0.5941 +-  0.0311, avg_sens=0.4364 +-  0.1795, avg_specs=0.7138 +-  0.1075
avg_auc=0.6357 +-  0.0544, avg_acc=0.5951 +-  0.0252, avg_sens=0.4818 +-  0.2060, avg_specs=0.6810 +-  0.1393
avg_auc=0.6238 +-  0.0543, avg_acc=0.5971 +-  0.0426, avg_sens=0.4795 +-  0.1687, avg_specs=0.6862 +-  0.1214
avg_auc=0.6245 +-  0.0509, avg_acc=0.6049 +-  0.0535, avg_sens=0.4955 +-  0.1122, avg_specs=0.6879 +-  0.1376
avg_auc=0.6300 +-  0.0576, avg_acc=0.5990 +-  0.0386, avg_sens=0.5023 +-  0.1714, avg_specs=0.6724 +-  0.1593
avg_auc=0.6283 +-  0.0404, avg_acc=0.5922 +-  0.0275, avg_sens=0.5136 +-  0.1491, avg_specs=0.6517 +-  0.1098
avg_auc=0.6403 +-  0.0334, avg_acc=0.6157 +-  0.0339, avg_sens=0.4432 +-  0.1391, avg_specs=0.7466 +-  0.1283


[GraphSage]
avg_auc=0.7702 +-  0.0415, avg_acc=0.6990 +-  0.0423, avg_sens=0.5500 +-  0.1651, avg_specs=0.8121 +-  0.0955
avg_auc=0.7572 +-  0.0356, avg_acc=0.6765 +-  0.0416, avg_sens=0.6114 +-  0.2228, avg_specs=0.7259 +-  0.1589
avg_auc=0.7473 +-  0.0335, avg_acc=0.6843 +-  0.0546, avg_sens=0.5455 +-  0.1655, avg_specs=0.7897 +-  0.0812
avg_auc=0.7487 +-  0.0354, avg_acc=0.6765 +-  0.0451, avg_sens=0.5091 +-  0.1992, avg_specs=0.8034 +-  0.0970
avg_auc=0.7526 +-  0.0398, avg_acc=0.6725 +-  0.0448, avg_sens=0.5000 +-  0.1807, avg_specs=0.8034 +-  0.1044
avg_auc=0.7467 +-  0.0331, avg_acc=0.6725 +-  0.0419, avg_sens=0.5159 +-  0.1968, avg_specs=0.7914 +-  0.1015
avg_auc=0.7495 +-  0.0354, avg_acc=0.6725 +-  0.0456, avg_sens=0.5068 +-  0.1893, avg_specs=0.7983 +-  0.1133
avg_auc=0.7440 +-  0.0426, avg_acc=0.6667 +-  0.0508, avg_sens=0.4841 +-  0.2232, avg_specs=0.8052 +-  0.1035
avg_auc=0.7520 +-  0.0371, avg_acc=0.6833 +-  0.0443, avg_sens=0.5614 +-  0.1704, avg_specs=0.7759 +-  0.1057
avg_auc=0.7524 +-  0.0444, avg_acc=0.6843 +-  0.0501, avg_sens=0.5386 +-  0.2204, avg_specs=0.7948 +-  0.1165



[NeuroGraph]
avg_auc=0.7992 +-  0.0469, avg_acc=0.7216 +-  0.0407, avg_sens=0.5977 +-  0.1405, avg_specs=0.8155 +-  0.0681
avg_auc=0.8132 +-  0.0517, avg_acc=0.7235 +-  0.0472, avg_sens=0.6068 +-  0.1598, avg_specs=0.8121 +-  0.0933
avg_auc=0.8007 +-  0.0657, avg_acc=0.7314 +-  0.0432, avg_sens=0.5955 +-  0.1648, avg_specs=0.8345 +-  0.0744
avg_auc=0.8089 +-  0.0500, avg_acc=0.7137 +-  0.0518, avg_sens=0.6591 +-  0.1866, avg_specs=0.7552 +-  0.1641
avg_auc=0.8021 +-  0.0499, avg_acc=0.7196 +-  0.0346, avg_sens=0.5795 +-  0.1646, avg_specs=0.8259 +-  0.0917
avg_auc=0.7935 +-  0.0458, avg_acc=0.7196 +-  0.0473, avg_sens=0.6318 +-  0.1547, avg_specs=0.7862 +-  0.0813
avg_auc=0.8082 +-  0.0483, avg_acc=0.7225 +-  0.0472, avg_sens=0.6295 +-  0.1562, avg_specs=0.7931 +-  0.0820
avg_auc=0.8100 +-  0.0411, avg_acc=0.7265 +-  0.0422, avg_sens=0.6000 +-  0.1449, avg_specs=0.8224 +-  0.0756
avg_auc=0.8016 +-  0.0461, avg_acc=0.7147 +-  0.0318, avg_sens=0.6045 +-  0.1579, avg_specs=0.7983 +-  0.1180
avg_auc=0.8017 +-  0.0447, avg_acc=0.7176 +-  0.0436, avg_sens=0.6136 +-  0.1558, avg_specs=0.7966 +-  0.0782



[BrainNetTF]
avg_auc=0.8301 +-  0.0461, avg_acc=0.7539 +-  0.0477, avg_sens=0.6818 +-  0.1578, avg_specs=0.8086 +-  0.0891
avg_auc=0.8245 +-  0.0451, avg_acc=0.7490 +-  0.0443, avg_sens=0.6295 +-  0.0863, avg_specs=0.8397 +-  0.0767
avg_auc=0.8187 +-  0.0421, avg_acc=0.7392 +-  0.0489, avg_sens=0.6500 +-  0.1338, avg_specs=0.8069 +-  0.1520
avg_auc=0.8198 +-  0.0407, avg_acc=0.7461 +-  0.0461, avg_sens=0.6659 +-  0.1356, avg_specs=0.8069 +-  0.1101
avg_auc=0.8247 +-  0.0434, avg_acc=0.7451 +-  0.0548, avg_sens=0.6205 +-  0.1434, avg_specs=0.8397 +-  0.0787
avg_auc=0.8110 +-  0.0449, avg_acc=0.7304 +-  0.0373, avg_sens=0.6545 +-  0.1321, avg_specs=0.7879 +-  0.1055
avg_auc=0.8232 +-  0.0414, avg_acc=0.7157 +-  0.0672, avg_sens=0.7136 +-  0.1950, avg_specs=0.7172 +-  0.1923
avg_auc=0.8208 +-  0.0459, avg_acc=0.7578 +-  0.0372, avg_sens=0.7091 +-  0.1321, avg_specs=0.7948 +-  0.0670
avg_auc=0.8185 +-  0.0428, avg_acc=0.7373 +-  0.0466, avg_sens=0.6227 +-  0.1413, avg_specs=0.8241 +-  0.1014
