[GCN]
mse=22.85766657717942, mae=3.99238685666002, corr=0.1772207585854855
mse=23.56055850304928, mae=4.087321731644838, corr=0.28694837853004135
mse=19.891237723645826, mae=3.710329544725757, corr=0.30509549680662423
mse=24.583047895867207, mae=4.031235854637805, corr=0.21251903101324954
mse=20.637768542100936, mae=3.8026558154730625, corr=0.19727260681201148
mse=24.538001491333628, mae=4.032880381279186, corr=0.23116998899579957
mse=25.013556698252103, mae=4.182039686871059, corr=0.2904047903810939
mse=22.10535746540515, mae=3.9676852492511574, corr=0.23366760690513044
mse=21.148710938274558, mae=3.706433475320109, corr=0.23995818226751725
mse=22.3145254783824, mae=3.828186098089073, corr=0.1957446422951791



[MLP-Node]
mse=21.706967774986616, mae=3.9654064033237204, corr=0.21530783950313243
mse=23.640366433235595, mae=4.221000768206446, corr=0.2452625534694477
mse=20.395996524597788, mae=3.7288884196789738, corr=0.22020628946227314
mse=22.91046579719195, mae=3.919794252076125, corr=0.15792300181849278
mse=20.112513982705053, mae=3.759016705043425, corr=0.11494535268782241
mse=25.123378027514153, mae=4.052496222675149, corr=0.16158551639868474
mse=25.37218370776491, mae=4.275392111182818, corr=0.2750308367590462
mse=22.084983235083257, mae=4.00021012785471, corr=0.16274310160306849
mse=20.81581983227415, mae=3.778114522169084, corr=0.24134850799746307
mse=20.48789146829983, mae=3.792890432522382, corr=0.18560591571357854


[CPM-POS]
mse=22.505696553737284, mae=3.9875236476009728, corr=0.1813935376516093
mse=24.550681880794166, mae=4.16185452531257, corr=0.18329631067312377
mse=21.323000970101504, mae=3.859835210466589, corr=0.25006631623709963
mse=22.375465904897755, mae=3.792193136680927, corr=0.16395082169750383
mse=20.363929739361073, mae=3.757469348285812, corr=0.20313742530373152
mse=24.163969226964458, mae=4.040620330398107, corr=0.21783898862519882
mse=25.929934644125506, mae=4.318808607278425, corr=0.16767016666426102
mse=21.642097466684234, mae=3.8651866203382443, corr=0.24509781894156424
mse=21.497217221610565, mae=3.761180147188631, corr=0.2092692254435401
mse=22.091180834825078, mae=3.8657473784576037, corr=0.16881629956848865



[CPM-NEG]
mse=23.766506737137636, mae=4.035746769258833, corr=0.04987866507971394
mse=24.93421667625317, mae=4.149294284169989, corr=0.1019701719519157
mse=22.22714427788102, mae=3.94719930186929, corr=0.10250959145003771
mse=23.393105624653305, mae=3.962000486577668, corr=-0.01692550509751713
mse=19.96462936412687, mae=3.72781500458971, corr=0.17176570801343655
mse=24.8016005105364, mae=4.1192457817289885, corr=0.13228615955539322
mse=26.56053596756019, mae=4.422529702426745, corr=0.10081991082699794
mse=24.60408469097718, mae=4.143858920518617, corr=-0.021152447983903307
mse=21.00982341660325, mae=3.7630630494674646, corr=0.2239070676187285
mse=23.573996702074123, mae=3.99044804993194, corr=-0.035272025823615195



[CMEP]
mse=20.03594745250774, mae=3.7364759635616633, corr=0.31513971754143927
mse=23.077208009440056, mae=3.9388658370366705, corr=0.26646756304691704
mse=20.808852683645235, mae=3.895704480289881, corr=0.2689103601120359
mse=20.974547517782103, mae=3.717159302312335, corr=0.2474054401564199
mse=19.04323623608124, mae=3.6325533720226635, corr=0.2880765940807002
mse=23.606928439763053, mae=4.006653679582546, corr=0.24409083459819442
mse=23.283295893623816, mae=4.07992572927302, corr=0.3272186312632701
mse=20.651916875152494, mae=3.765611294186548, corr=0.30827568341658973
mse=21.180513001249224, mae=3.7896264050927475, corr=0.24840987489279867
mse=21.721634904612824, mae=3.7415776933319362, corr=0.17295863421216193



[LinearReg]
mse=26.773880849538482, mae=4.378762622350806, corr=0.09975169209805185
mse=25.30686558315179, mae=4.128428488127133, corr=0.22299818886486172
mse=24.820707172511614, mae=4.027664995708029, corr=0.1932944010118185
mse=24.86354560266098, mae=4.060617494498908, corr=0.1650823429068356
mse=23.52189014112025, mae=3.8983643290474927, corr=0.1800545780944632
mse=27.458284357430234, mae=4.076245954248184, corr=0.23315651133472967
mse=28.30072007428415, mae=4.40517582347794, corr=0.14927384694789733
mse=26.802675949194224, mae=4.259033104663753, corr=0.10724877242993275
mse=26.532754088303818, mae=3.98226743767443, corr=0.06863726380515142
mse=27.055731483448273, mae=4.24184290975305, corr=0.05538645973171184



[ElasticNet]
mse=21.064131094646534, mae=3.8780175748453494, corr=0.21748006966578948
mse=22.72531080515658, mae=3.9960150833887313, corr=0.2802293624623515
mse=19.812423821352176, mae=3.7544389295803184, corr=0.2968745894353497
mse=20.98933224334034, mae=3.7636806557165707, corr=0.18754952242929857
mse=18.305546361967284, mae=3.6099183784201383, corr=0.3170074421772793
mse=23.287749680686936, mae=4.007083398314068, corr=0.2390841584869078
mse=24.03531820061312, mae=4.149644549539148, corr=0.2974094749024711
mse=21.576701486202168, mae=3.8849733078406623, corr=0.21986086235304542
mse=20.2174778400771, mae=3.6659719658011927, corr=0.2921740799377605
mse=21.555248641695915, mae=3.7400622093037543, corr=0.11831671123763407



[SVR]
mse=20.68386369043862, mae=3.7225780968297704, corr=0.21896912828522258
mse=24.02700440928243, mae=3.99024989373401, corr=0.21036057788740153
mse=19.632140196688045, mae=3.6558110518141205, corr=0.28835157727114286
mse=22.420447589896092, mae=3.755923011705993, corr=0.18325078921138135
mse=19.64411667634191, mae=3.5868473069792084, corr=0.27097073979274766
mse=25.05806655200341, mae=3.9723462236170652, corr=0.26243739392065574
mse=26.4131924489118, mae=4.242746934508454, corr=0.24649693064993755
mse=22.317748543645195, mae=3.8563563357203967, corr=0.207697312507324
mse=21.567196450033453, mae=3.6598388440916843, corr=0.29784994371362417
mse=23.385773337909594, mae=3.8330020374259917, corr=0.11206970401735532



[RandomForest]
mse=21.917710841487295, mae=3.975467250220772, corr=0.1160716852083125
mse=23.72260499521456, mae=4.09635645257896, corr=0.18886777737075464
mse=20.405626589693117, mae=3.821005608006542, corr=0.2562514698976742
mse=20.829575127491, mae=3.755013545004275, corr=0.17080202190768745
mse=19.250574787799078, mae=3.6947995197617, corr=0.22850739440098763
mse=22.727493218866996, mae=3.9798560823737037, corr=0.31116088271883835
mse=24.73429724273896, mae=4.272223499398108, corr=0.23198007118663605
mse=21.925859004462186, mae=3.9313478798364554, corr=0.16460917287703472
mse=20.530812955878574, mae=3.701555443621998, corr=0.27689031103633804
mse=21.305179794153645, mae=3.7910325592203216, corr=0.08637844317874513



[KernelRidgeReg]
mse=20.488694693813446, mae=3.823383860864522, corr=0.2596234991063411
mse=22.663739555767762, mae=3.987496040082578, corr=0.2856356564273491
mse=19.805674647354675, mae=3.765629158591851, corr=0.3004981751319321
mse=20.902168752534294, mae=3.7633686875060164, corr=0.1981824157454604
mse=17.83854335846211, mae=3.5622669172897186, corr=0.35873119284829996
mse=23.070756050006278, mae=4.00748755615681, corr=0.2529166807550456
mse=23.49930830231328, mae=4.102377742163311, corr=0.3388642774839647
mse=21.418814570340935, mae=3.8865673336308606, corr=0.23146136338670503
mse=19.924337841039176, mae=3.663795053271667, corr=0.32015822071553685
mse=21.05927982707642, mae=3.7091991403820668, corr=0.1567668283783693
