[BrainGB]
avg_auc=0.6446 +-  0.0458, avg_acc=0.5975 +-  0.0382, avg_sens=0.6141 +-  0.1039, avg_specs=0.5761 +-  0.1616
avg_auc=0.6279 +-  0.0451, avg_acc=0.5901 +-  0.0433, avg_sens=0.5892 +-  0.0971, avg_specs=0.5896 +-  0.1079
avg_auc=0.6139 +-  0.0359, avg_acc=0.5847 +-  0.0309, avg_sens=0.6137 +-  0.0397, avg_specs=0.5518 +-  0.0726
avg_auc=0.6204 +-  0.0354, avg_acc=0.5980 +-  0.0269, avg_sens=0.6252 +-  0.0516, avg_specs=0.5653 +-  0.0804
avg_auc=0.6102 +-  0.0337, avg_acc=0.5768 +-  0.0332, avg_sens=0.6431 +-  0.0671, avg_specs=0.5042 +-  0.0777
avg_auc=0.6069 +-  0.0378, avg_acc=0.5788 +-  0.0357, avg_sens=0.5754 +-  0.1039, avg_specs=0.5738 +-  0.1094
avg_auc=0.5897 +-  0.0315, avg_acc=0.5552 +-  0.0338, avg_sens=0.5773 +-  0.0892, avg_specs=0.5250 +-  0.0852
avg_auc=0.5723 +-  0.0380, avg_acc=0.5360 +-  0.0293, avg_sens=0.5285 +-  0.2001, avg_specs=0.5475 +-  0.1825
avg_auc=0.5653 +-  0.0376, avg_acc=0.5374 +-  0.0433, avg_sens=0.5472 +-  0.1567, avg_specs=0.5241 +-  0.1252


[GraphSage]
avg_auc=0.7316 +-  0.0418, avg_acc=0.6808 +-  0.0414, avg_sens=0.7165 +-  0.0589, avg_specs=0.6422 +-  0.0686
avg_auc=0.7143 +-  0.0409, avg_acc=0.6591 +-  0.0367, avg_sens=0.6613 +-  0.0974, avg_specs=0.6557 +-  0.0888
avg_auc=0.7059 +-  0.0460, avg_acc=0.6507 +-  0.0440, avg_sens=0.6478 +-  0.0910, avg_specs=0.6565 +-  0.1126
avg_auc=0.7078 +-  0.0461, avg_acc=0.6443 +-  0.0420, avg_sens=0.6591 +-  0.0869, avg_specs=0.6337 +-  0.0922
