[GCN]
auc=0.9086990595611286, acc=0.7450980392156863, sens=0.45454545454545453, spec=0.9655172413793104
auc=0.8060344827586207, acc=0.7254901960784313, sens=0.5227272727272727, spec=0.8793103448275862
auc=0.7801724137931035, acc=0.7156862745098039, sens=0.5681818181818182, spec=0.8275862068965517
auc=0.7159090909090909, acc=0.6372549019607843, sens=0.3181818181818182, spec=0.8793103448275862


[BrainNetTF]
auc=0.844435736677116, acc=0.7843137254901961, sens=0.7045454545454546, spec=0.8448275862068966
auc=0.8608934169278997, acc=0.7647058823529411, sens=0.6818181818181818, spec=0.8275862068965517
auc=0.8221003134796238, acc=0.6568627450980392, sens=0.36363636363636365, spec=0.8793103448275862
auc=0.8718652037617555, acc=0.803921568627451, sens=0.7272727272727273, spec=0.8620689655172413
auc=0.8518808777429466, acc=0.7843137254901961, sens=0.8636363636363636, spec=0.7241379310344828
auc=0.7934952978056427, acc=0.6862745098039216, sens=0.4090909090909091, spec=0.896551724137931
auc=0.8679467084639498, acc=0.7352941176470589, sens=0.5454545454545454, spec=0.8793103448275862
auc=0.8350313479623824, acc=0.7745098039215687, sens=0.6363636363636364, spec=0.8793103448275862
auc=0.751959247648903, acc=0.7058823529411765, sens=0.5909090909090909, spec=0.7931034482758621
auc=0.7703761755485893, acc=0.6764705882352942, sens=0.5227272727272727, spec=0.7931034482758621


[BrainNetCNN]
auc=0.7884012539184952, acc=0.7254901960784313, sens=0.75, spec=0.7068965517241379
auc=0.8338557993730408, acc=0.7058823529411765, sens=0.45454545454545453, spec=0.896551724137931
auc=0.7942789968652038, acc=0.7254901960784313, sens=0.5681818181818182, spec=0.8448275862068966
auc=0.7417711598746082, acc=0.6372549019607843, sens=0.8181818181818182, spec=0.5
auc=0.7641065830721003, acc=0.6764705882352942, sens=0.5454545454545454, spec=0.7758620689655172
auc=0.7421630094043887, acc=0.6666666666666666, sens=0.6363636363636364, spec=0.6896551724137931
auc=0.8605015673981191, acc=0.7941176470588235, sens=0.75, spec=0.8275862068965517
auc=0.7868338557993731, acc=0.7156862745098039, sens=0.7045454545454546, spec=0.7241379310344828
auc=0.7899686520376175, acc=0.7549019607843137, sens=0.6363636363636364, spec=0.8448275862068966
auc=0.6986677115987462, acc=0.6372549019607843, sens=0.6136363636363636, spec=0.6551724137931034


[MLP-Flatten]
auc=0.8064263322884013, acc=0.7058823529411765, sens=0.5227272727272727, spec=0.8448275862068966
auc=0.8401253918495297, acc=0.7450980392156863, sens=0.7272727272727273, spec=0.7586206896551724
auc=0.8424764890282131, acc=0.6862745098039216, sens=0.4772727272727273, spec=0.8448275862068966
auc=0.8452194357366771, acc=0.7745098039215687, sens=0.7272727272727273, spec=0.8103448275862069
auc=0.8154388714733543, acc=0.7549019607843137, sens=0.6363636363636364, spec=0.8448275862068966
auc=0.7848746081504703, acc=0.7156862745098039, sens=0.6818181818181818, spec=0.7413793103448276
auc=0.8898902821316614, acc=0.7941176470588235, sens=0.6590909090909091, spec=0.896551724137931
auc=0.8130877742946708, acc=0.7549019607843137, sens=0.6363636363636364, spec=0.8448275862068966
auc=0.7774294670846396, acc=0.7352941176470589, sens=0.5681818181818182, spec=0.8620689655172413
auc=0.7280564263322884, acc=0.6372549019607843, sens=0.5227272727272727, spec=0.7241379310344828



[MLP-Node]
